run_id,source_run_id,model,suite,quant_label,n,acc_f16,acc_quant,delta,ci_lo,ci_hi,p_mcnemar,b_lost,c_gained,truncated_f16,truncated_quant,state,seed_rule
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_i1_Q3_K_M,96,0.989583,0.979167,-0.010417,-0.052083,0.020833,1.000000,2,1,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_i1_Q4_K_M,96,0.989583,1.000000,0.010417,0.000000,0.031250,1.000000,0,1,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_static_Q3_K_M,96,0.989583,0.958333,-0.031250,-0.083333,0.010417,0.375000,4,1,0,2,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,mradermacher_static_Q4_K_M,96,0.989583,1.000000,0.010417,0.000000,0.031250,1.000000,0,1,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,unsloth_Q3_K_M,96,0.989583,0.989583,0.000000,-0.031250,0.031250,1.000000,1,1,0,1,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,longctx_retrieval,unsloth_Q4_K_M,96,0.989583,0.979167,-0.010417,-0.052083,0.020833,1.000000,2,1,0,1,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_i1_Q3_K_M,500,0.864000,0.832000,-0.032000,-0.066000,0.002000,0.080507,45,29,4,15,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_i1_Q4_K_M,500,0.864000,0.868000,0.004000,-0.028000,0.036000,0.900653,31,33,4,9,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_static_Q3_K_M,500,0.864000,0.832000,-0.032000,-0.062000,-0.002000,0.055897,39,23,4,15,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,mradermacher_static_Q4_K_M,500,0.864000,0.868000,0.004000,-0.028000,0.036000,0.900653,31,33,4,8,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,unsloth_Q3_K_M,500,0.864000,0.828000,-0.036000,-0.070000,-0.002000,0.044371,45,27,4,18,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
